53	635
280	746
150	787
105	595
265	719
439	830
1	630
250	977
32	501
351	763
233	547
90	1036
65	841
55	828
71	665
101	1115
261	759
94	718
562	737
-61	517
55	797
46	510
113	864
116	527
-1	733
268	880
81	772
91	907
33	833
120	602
221	641
290	777
219	692
59	558
257	891
-94	573
14	852
217	1076
101	657
290	877
42	670
101	848
237	824
17	984
233	759
74	587
200	867
301	683
330	578
270	489
156	820
-104	640
159	462
394	654
315	644
186	676
55	833
556	675
198	652
-22	646
188	631
231	646
303	444
179	746
213	522
168	866
84	928
47	1035
188	457
223	861
232	1008
24	749
161	763
-67	765
50	566
190	594
179	729
283	534
292	828
-135	690
98	419
-121	651
276	636
393	791
121	848
175	654
-71	825
165	621
-43	668
234	637
52	832
32	676
17	560
-8	660
201	579
-50	850
339	608
308	675
524	847
234	771
188	837
212	521
394	829
395	651
267	757
345	514
434	874
66	808
227	675
217	619
16	851
108	867
199	938
11	848
143	764
108	832
96	550
123	837
154	531
-10	713
-60	605
148	524
420	476
-55	948
161	538
113	519
98	585
-42	796
78	620
120	743
-111	854
10	564
138	707
389	803
50	707
8	595
48	830
74	705
344	777
211	787
144	541
123	594
-77	656
2	907
482	702
29	846
145	824
187	648
50	722
185	760
-6	627
101	768
276	955
243	688
163	777
312	798
604	702
297	673
168	658
-49	548
353	591
262	804
118	955
222	404
167	675
146	603
245	907
67	700
124	711
199	899
131	711
304	917
-150	1084
56	878
223	760
176	888
167	789
79	726
144	826
-25	576
119	794
-112	901
-104	517
303	803
56	675
-8	696
59	820
370	595
139	566
304	940
16	556
168	818
63	1221
260	691
230	701
169	707
503	408
53	818
305	690
22	585
27	706
79	741
165	633
-90	818
190	776
398	519
71	910
241	681
173	781
91	766
16	925
314	574
128	518
116	770
375	852
-97	678
191	784
25	733
361	527
140	524
244	409
203	825
177	634
84	529
317	684
67	743
145	579
440	714
249	659
-42	577
31	877
214	949
75	738
174	1045
-79	610
-46	582
250	863
28	765
224	694
276	784
135	857
390	717
260	757
-175	735
59	502
93	650
223	489
90	616
43	697
34	569
-55	774
188	623
205	859
336	611
133	1034
482	778
276	693
70	816
-13	583
207	1022
111	540
59	762
117	819
256	777
9	559
54	535
273	542
90	683
256	847
31	697
261	620
76	714
263	491
26	526
378	735
232	426
125	655
-61	569
144	793
344	786
-13	1017
265	1208
348	406
138	506
279	698
93	676
330	497
127	952
228	608
-96	579
210	486
130	665
201	696
46	607
392	972
37	728
-24	753
410	803
234	797
203	695
206	696
38	806
-163	857
121	807
102	846
155	688
259	666
220	504
-128	570
76	871
96	995
354	878
42	711
239	1090
149	1065
159	682
151	537
37	511
129	613
13	630
293	495
-112	790
177	733
219	874
155	735
184	822
184	846
115	641
33	811
207	597
-57	841
300	665
262	501
204	728
291	789
467	607
81	602
148	563
259	568
155	620
-70	738
105	785
134	688
158	572
-23	956
302	956
382	567
93	643
-82	608
399	625
277	895
118	998
64	621
-133	702
42	768
294	777
197	566
200	889
291	512
177	627
66	621
177	976
-11	662
158	727
76	772
75	748
263	371
131	829
226	890
192	686
-2	873
69	643
220	1031
282	498
194	1022
37	619
203	790
75	554
80	895
266	659
233	858
266	747
-11	559
290	763
163	450
88	797
53	849
111	799
158	508
59	977
448	623
250	942
513	606
344	648
94	948
-81	1041
-3	766
-16	670
-35	919
52	1159
121	755
154	787
-79	289
346	566
102	776
144	536
144	943
-2	1252
81	930
377	772
182	650
201	608
137	487
128	1009
-77	387
194	619
156	624
241	927
128	709
178	540
18	915
287	726
-88	783
61	749
8	642
114	624
133	631
196	714
14	815
69	940
111	956
186	746
298	856
-124	674
153	934
145	769
186	858
266	952
266	987
196	613
145	741
194	454
167	591
99	708
-25	582
281	612
107	553
210	646
-15	771
39	916
58	763
15	788
89	587
61	684
-43	602
252	553
289	709
259	822
148	528
359	734
-3	645
407	777
121	444
43	761
217	696
258	758
168	498
405	541
-19	585
17	570
58	970
133	470
162	733
15	527
209	447
373	941
195	713
143	333
551	816
294	548
92	444
241	849
-45	703
28	620
34	834
153	785
-19	648
140	628
331	910
52	1246
26	778
66	580
4	684
49	775
290	693
-79	476
389	816
-6	426
245	518
90	994
310	735
158	723
204	530
339	878
161	891
138	627
222	883
-49	981
173	545
256	874
-77	833
-4	852
10	813
213	918
52	932
-68	467
241	824
5	578
180	425
140	557
223	970
147	865
101	843
-36	584
194	511
329	581
254	924
165	701
150	644
-11	720
42	1021
154	677
125	621
49	618
-77	868
250	569
-106	584
200	538
-125	742
207	275
272	-156
21	-59
163	-105
88	136
201	35
193	-158
104	73
260	-19
285	113
263	18
132	32
60	815
320	539
-12	686
99	644
241	649
117	512
203	945
282	494
262	525
252	607
135	628
140	722
57	672
282	539
232	623
71	541
211	800
-22	579
-50	545
523	60
978	60
548	119
517	214
1009	29
600	-6
567	31
372	61
729	155
769	66
695	201
575	132
505	25
666	248
657	128
722	110
768	50
605	208
441	241
851	199
523	401
769	-13
611	102
606	134
440	105
734	28
667	-43
700	36
490	155
656	179
471	77
699	306
929	7
467	74
376	250
786	163
652	144
614	83
1233	222
530	193
732	195
677	340
604	-61
309	180
678	189
637	105
652	137
489	133
541	189
641	234
598	125
382	215
580	124
831	76
717	444
669	91
532	63
1271	154
449	269
335	245
670	175
540	262
514	334
731	291
705	252
663	105
898	111
720	300
715	120
765	241
992	102
459	55
630	302
311	156
638	205
544	20
521	-9
583	231
681	87
502	248
622	181
885	255
422	166
812	59
633	141
709	125
807	144
709	260
346	119
524	270
424	382
497	63
579	234
398	205
1363	265
478	102
419	198
379	229
651	109
281	297
427	322
-44	601
31	699
139	688
230	544
294	708
257	664
84	444
180	1060
188	606
332	438
210	852
179	473
108	790
61	692
18	582
81	769
-58	772
80	700
30	705
91	623
388	401
154	694
443	490
436	600
351	672
-194	669
500	604
311	635
94	609
97	732
197	836
401	870
398	630
74	758
115	921
108	712
36	640
-49	775
326	517
158	732
88	723
75	970
400	872
410	484
-41	410
190	518
274	496
136	397
210	762
156	741
103	674
312	792
130	667
358	532
272	583
102	708
332	690
-124	562
237	573
329	831
329	670
198	973
246	427
-94	637
-57	992
76	579
137	656
190	637
-217	719
3	844
105	845
60	723
-68	792
59	547
-19	492
165	458
94	796
101	754
152	748
284	817
-22	808
316	515
148	456
27	302
174	740
123	535
161	865
231	832
134	499
177	570
262	539
-26	749
-26	434
184	899
155	338
84	624
177	688
230	610
-3	596
-137	552
96	755
185	529
282	567
129	706
208	433
146	701
190	549
119	497
121	700
231	967
212	484
127	755
121	502
151	798
326	672
219	798
173	668
125	609
232	582
284	662
-125	547
251	763
430	734
1	618
300	612
112	758
4	559
313	520
258	885
226	587
320	513
222	687
138	558
152	708
-45	794
91	616
81	529
-138	866
91	361
296	583
130	782
-168	720
96	838
-22	451
101	649
-26	654
-12	639
404	748
148	605
345	625
274	588
4	655
48	654
-28	598
-37	483
-47	746
198	920
62	716
-45	801
396	731
157	438
32	755
22	1071
210	737
196	583
-90	761
162	860
-29	622
408	761
30	684
419	585
187	898
221	1075
-49	637
293	751
82	638
6	778
264	710
375	706
295	567
9	629
-3	816
151	487
294	586
331	552
103	713
-33	558
87	887
3	1145
127	414
106	688
135	836
217	583
276	585
91	810
234	629
-160	644
-47	766
283	959
44	741
111	750
45	728
166	552
-78	561
101	579
142	634
217	538
-43	800
225	889
-93	870
596	645
268	453
25	635
-98	587
-14	430
-27	857
27	855
197	729
215	664
-43	745
170	806
168	728
161	804
-68	795
153	527
181	948
271	960
-114	1091
234	658
139	591
89	550
-275	923
113	514
200	693
93	526
42	896
-138	770
306	901
213	547
193	622
295	514
104	757
58	658
-40	451
6	485
44	740
96	505
-91	612
-52	734
98	601
-33	675
182	498
177	895
184	545
2	509
178	632
163	505
-11	416
-6	1044
196	554
84	719
77	731
225	835
377	476
-102	588
-149	745
157	848
172	454
370	565
-38	642
-69	851
-43	519
283	900
-35	848
47	619
-152	727
-11	541
-160	670
178	641
-42	693
11	455
145	703
387	682
46	583
229	612
126	351
229	901
66	685
218	697
198	586
7	737
68	646
66	423
-91	852
51	737
176	500
98	932
123	589
19	645
